mint,symbol,name,uri,image,creator,detect_time,buy_time,detect_to_buy_secs,buy_sol,buy_price_sol_per_token,buy_tokens,sell_time,stop_reason,sell_tokens,sell_sol,profit_percent,profit_sol
"nR7Y5QHfCvE72XsfLtCKnr1XiN32kr8nbSjkwF2pump","JELLYCAT","Jelly-My-Cat","https://api-main.uxento.io/api/v1/proxy/image?url=https%3A%2F%2Fthumbnails.padre.gg%2FSOLANA-tefaPL3gzDuK9mhcy4YJwQf5F8eDWhgEnxUysnEpump","https://api-main.uxento.io/api/v1/proxy/image?url=https%3A%2F%2Fthumbnails.padre.gg%2FSOLANA-tefaPL3gzDuK9mhcy4YJwQf5F8eDWhgEnxUysnEpump","GHw58NMWXLWr2xdxCLVk3ERYxE5FMrgimUaYtMUfQdwE",2025-11-04T17:00:19.562702570+00:00,2025-11-04T17:00:24.789466776+00:00,5,1.000000000,0.000000034,29541049,2025-11-04T17:00:32.069024669+00:00,TIMEOUT,29541049,0.999384976,-0.06,-0.000615003
"9K8SFn6WStMpLjWY4zMnriEVPmtbDXrZySyUxTygpump","DRUG","Drug Wars","https://ipfs.io/ipfs/QmZgpd1r5rGKedxWJnZRiSGKw7ALrk8wW1VuhPFL6vUaR8","https://ipfs.io/ipfs/QmZgpd1r5rGKedxWJnZRiSGKw7ALrk8wW1VuhPFL6vUaR8","BF4Er9zkCATvbpXvsa7s5bQKv3eQrSD2K4tFCUCh6VcC",2025-11-04T17:00:34.580210178+00:00,2025-11-04T17:00:41.059425970+00:00,6,1.000000000,0.000000045,22197314,2025-11-04T17:00:42.934123204+00:00,TP,22197314,1.164297455,16.43,0.164297459
